route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
4,2026_01_12-DX-MVS-Weekday-001,1842368,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842182,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842369,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842183,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842370,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842184,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842371,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842185,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842372,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842186,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842373,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842187,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842374,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842188,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842375,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842189,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842376,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842190,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842377,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
1,2026_01_12-DX-MVS-Weekday-001,1842479,"San Francisco International Airport",1,,001F_shp,,1,1
2,2026_01_12-DX-MVS-Weekday-001,1842255,"San Francisco / Antioch",0,,002C_shp,,1,1
1,2026_01_12-DX-MVS-Weekday-001,1842480,"San Francisco International Airport",1,,001F_shp,,1,1
2,2026_01_12-DX-MVS-Weekday-001,1842254,"SF / Pittsburg/Bay Point",0,,002D_shp,,1,1
1,2026_01_12-DX-MVS-Weekday-001,1842436,"San Francisco International Airport",1,,001B_shp,,1,1
2,2026_01_12-DX-MVS-Weekday-001,1842253,"SFO / SF / Pittsburg/Bay Point",0,,002B_shp,,1,1
1,2026_01_12-DX-MVS-Weekday-001,1842378,"San Francisco International Airport",1,,001A_shp,,1,1
1,2026_01_12-DX-MVS-Weekday-001,1842437,"San Francisco International Airport",1,,001B_shp,,1,1
2,2026_01_12-DX-MVS-Weekday-001,1842250,"San Francisco / Antioch",0,,002C_shp,,1,1
1,2026_01_12-DX-MVS-Weekday-001,1842379,"San Francisco International Airport",1,,001A_shp,,1,1
2,2026_01_12-DX-MVS-Weekday-001,1842252,"SFO / SF / Antioch",0,,002A_shp,,1,1
1,2026_01_12-DX-MVS-Weekday-001,1842438,"San Francisco International Airport",1,,001B_shp,,1,1
1,2026_01_12-DX-MVS-Weekday-001,1842380,"San Francisco International Airport",1,,001A_shp,,1,1
2,2026_01_12-DX-MVS-Weekday-001,1842251,"SFO / SF / Pittsburg/Bay Point",0,,002B_shp,,1,1
1,2026_01_12-DX-MVS-Weekday-001,1842435,"San Francisco International Airport",1,,001B_shp,,1,1
1,2026_01_12-DX-MVS-Weekday-001,1842381,"San Francisco International Airport",1,,001A_shp,,1,1
2,2026_01_12-DX-MVS-Weekday-001,1842246,"SFO / SF / Antioch",0,,002A_shp,,1,1
1,2026_01_12-DX-MVS-Weekday-001,1842439,"San Francisco International Airport",1,,001B_shp,,1,1
1,2026_01_12-DX-MVS-Weekday-001,1842382,"San Francisco International Airport",1,,001A_shp,,1,1
2,2026_01_12-DX-MVS-Weekday-001,1842248,"SFO / SF / Pittsburg/Bay Point",0,,002B_shp,,1,1
1,2026_01_12-DX-MVS-Weekday-001,1842440,"San Francisco International Airport",1,,001B_shp,,1,1
1,2026_01_12-DX-MVS-Weekday-001,1842383,"San Francisco International Airport",1,,001A_shp,,1,1
2,2026_01_12-DX-MVS-Weekday-001,1842247,"SFO / SF / Antioch",0,,002A_shp,,1,1
1,2026_01_12-DX-MVS-Weekday-001,1842441,"San Francisco International Airport",1,,001B_shp,,1,1
1,2026_01_12-DX-MVS-Weekday-001,1842384,"San Francisco International Airport",1,,001A_shp,,1,1
2,2026_01_12-DX-MVS-Weekday-001,1842249,"SFO / SF / Pittsburg/Bay Point",0,,002B_shp,,1,1
1,2026_01_12-DX-MVS-Weekday-001,1842443,"San Francisco International Airport",1,,001B_shp,,1,1
